id,LibraryLayout,Platform,Run,asm_stats_contig_n50,asm_stats_length_bp,asm_stats_n_contig,attribute_package,bioproject_acc,bioproject_title,bioproject_center,biosample_acc,clustered,collected_by,collection_date,epi_type,geo_loc_name,isolation_source,kmer_group,kmer_group_acc,major_contributor,new,sample_name,scientific_name,sort_order,taxid,species_taxid,sra_center,sra_release_date,strain,target_acc,target_creation_date,taxgroup_name,taxgroup_name_short,number_drugs_resistant,number_drugs_intermediate,number_drugs_susceptible,number_drugs_tested,number_amr_genes,AMR_genotypes,property,status,_version_,asm_acc,asm_display_name,asm_level,assembly_method,complete_fl,fullasm_id,host,serotype,wgs_acc_prefix,wgs_master_acc,host_disease,lat_lon,serovar,HHS_region,AST_phenotypes,PFGE_PrimaryEnzyme_pattern,PFGE_SecondaryEnzyme_pattern,isolate_name_alias,erd_group,erd_group_acc,mindiff,minsame,parent_group,cluster_size,tree_node_ids
PDG000000004.826_PDT000003671.1,PAIRED,ILLUMINA,SRR1177254,181201,5301461,133,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442796,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60387,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:14:09Z,AZ-TG60387,PDT000003671.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaCMY-2, blaEC, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003672.1,PAIRED,ILLUMINA,SRR1177282,113313,4827384,142,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442799,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60746,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:18:08Z,AZ-TG60746,PDT000003672.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003674.1,PAIRED,ILLUMINA,SRR1177255,343906,5028887,68,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442831,0,AZ,2/27/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56472,Escherichia coli,1,562,562,CFSAN,2014-02-26T22:14:09Z,AZ-TG56472,PDT000003674.1,2014-02-26T23:03:12Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,1,blaEC,has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003766.1,PAIRED,ILLUMINA,SRR1177582,122579,5032611,186,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442767,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56075,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:30:13Z,AZ-TG56075,PDT000003766.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,4,"aph(3'')-Ib, blaEC, blaTEM-1, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003767.1,PAIRED,ILLUMINA,SRR1177597,192372,5345687,122,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442768,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56091,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:32:08Z,AZ-TG56091,PDT000003767.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aac(3)-IId, aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(A), tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003768.1,PAIRED,ILLUMINA,SRR1177611,168897,5333318,130,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442769,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56107,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:34:08Z,AZ-TG56107,PDT000003768.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aac(3)-IId, aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(A), tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003769.1,PAIRED,ILLUMINA,SRR1177564,219441,5285081,126,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442770,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56123,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:27:50Z,AZ-TG56123,PDT000003769.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aac(3)-IId, aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(A), tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003770.1,PAIRED,ILLUMINA,SRR1177584,174123,5242775,125,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442771,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56139,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:30:13Z,AZ-TG56139,PDT000003770.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aac(3)-IId, aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(A), tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003771.1,PAIRED,ILLUMINA,SRR1177645,126299,5021642,192,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442773,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56171,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:39:07Z,AZ-TG56171,PDT000003771.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,4,"aph(3'')-Ib, blaEC, blaTEM-1, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003772.1,PAIRED,ILLUMINA,SRR1177552,167256,5241680,134,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442774,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56187,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:23:20Z,AZ-TG56187,PDT000003772.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,8,"aac(3)-IId, aadA1, aph(3'')-Ib, aph(6)-Id, blaEC, blaTEM-1, tet(A), tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003773.1,PAIRED,ILLUMINA,SRR1177548,119829,5022632,194,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442775,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56203,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:23:20Z,AZ-TG56203,PDT000003773.1,2014-02-27T00:03:09Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,4,"aph(3'')-Ib, blaEC, blaTEM-1, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003774.1,PAIRED,ILLUMINA,SRR1177568,328419,5180924,148,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442776,0,AZ,2/13/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG56219,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:30:13Z,AZ-TG56219,PDT000003774.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, blaTEM-1",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003776.1,PAIRED,ILLUMINA,SRR1177607,150330,5180987,129,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442779,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59923,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:32:08Z,AZ-TG59923,PDT000003776.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003777.1,PAIRED,ILLUMINA,SRR1177624,150332,5174833,133,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442780,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59935,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:35:07Z,AZ-TG59935,PDT000003777.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003778.1,PAIRED,ILLUMINA,SRR1177594,150331,5170900,123,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442783,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59971,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:32:08Z,AZ-TG59971,PDT000003778.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003779.1,PAIRED,ILLUMINA,SRR1177572,135306,5167596,139,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442785,0,AZ,3/5/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG59995,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:27:50Z,AZ-TG59995,PDT000003779.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,11,"aac(3), aadA1, aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaEC, blaTEM-1, qacEdelta1, sul1, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003780.1,PAIRED,ILLUMINA,SRR1177585,304588,4984979,108,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442789,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60303,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:30:13Z,AZ-TG60303,PDT000003780.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, sul2",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003781.1,PAIRED,ILLUMINA,SRR1177599,215087,5344740,125,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442790,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60315,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:32:08Z,AZ-TG60315,PDT000003781.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,5,"aac(3)-IId, aadA1, blaEC, blaTEM-1, tet(A)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003782.1,PAIRED,ILLUMINA,SRR1177545,167525,5297615,142,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442793,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60351,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:23:20Z,AZ-TG60351,PDT000003782.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,7,"aph(3'')-Ib, aph(3')-Ia, aph(6)-Id, blaCMY-2, blaEC, sul2, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003783.1,PAIRED,ILLUMINA,SRR1177586,514887,5141423,88,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442794,0,AZ,3/19/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60363,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:30:13Z,AZ-TG60363,PDT000003783.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003784.1,PAIRED,ILLUMINA,SRR1177573,72680,4957731,292,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442797,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60722,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:27:50Z,AZ-TG60722,PDT000003784.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003786.1,PAIRED,ILLUMINA,SRR1177613,108823,4870794,142,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442801,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60770,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:34:08Z,AZ-TG60770,PDT000003786.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003787.1,PAIRED,ILLUMINA,SRR1177587,87264,5130171,247,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442802,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60782,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:30:13Z,AZ-TG60782,PDT000003787.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003788.1,PAIRED,ILLUMINA,SRR1177633,113313,4833562,141,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442803,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60794,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:36:08Z,AZ-TG60794,PDT000003788.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
PDG000000004.826_PDT000003789.1,PAIRED,ILLUMINA,SRR1177642,62668,4794366,198,Pathogen: environmental/food/other,PRJNA230968,GenomeTrakr Project: Arizona State Public Health Laboratory,FDA/CFSAN,SAMN02442804,0,AZ,4/17/13,environmental/other,"USA:AZ, Flagstaff",packaged whole turkey,PDG000000004.826,PDG000000004,1,0,AZ-TG60806,Escherichia coli,1,562,562,CFSAN,2014-02-26T23:38:08Z,AZ-TG60806,PDT000003789.1,2014-02-27T00:03:10Z,E.coli and Shigella,Escherichia_coli_Shigella,0,0,0,0,2,"blaEC, tet(B)",has AMR genotypes,current,1.58369E+18,,,,,,,,,,,,,,,,,,,,,,,,,
